latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,no_of_days_since_lastreview
1.29453,103.83733,2,78,1,111,2.19,2,3,16
1.31821,103.77942,2,75,5,0,0.0,1,0,1887
1.31806,103.85172,1,94,2,4,0.1,1,0,607
1.28777,103.84907,2,125,90,74,1.46,1,270,247
1.35011,103.84667,1,100,92,0,0.0,3,0,1887
1.30728,103.78113,1,150,14,21,0.41,1,291,31
1.31406,103.88626,2,60,1,2,0.04,1,0,1509
1.31584,103.85582,1,94,2,67,1.33,12,311,17
1.27517,103.83639,1,160,13,0,0.0,1,0,1887
1.30767,103.88146,2,81,2,0,0.0,1,0,1887
1.31117,103.88298,2,90,1,79,1.56,37,340,15
1.28376,103.83965,2,93,4,3,0.09,1,157,879
1.30886,103.86363,2,50,20,1,0.02,83,362,1486
1.30854,103.86291,2,36,18,4,0.12,112,354,57
1.31226,103.88312,2,139,1,0,0.0,2,0,1887
1.28343,103.84512,1,115,4,44,0.9,84,69,14
1.28718,103.8262,2,85,1,0,0.0,1,0,1887
1.27988,103.85065,1,268,2,34,0.68,4,38,15
1.30233,103.84643,2,100,2,30,0.67,2,0,247
1.29432,103.82612,1,151,1,18,0.4,2,365,413
1.31887,103.77462,2,50,3,1,0.02,1,0,1429
1.31333,103.90434,1,139,90,19,0.54,2,0,637
1.29647,103.83779,2,74,1,129,2.6,2,5,23
1.27946,103.85592,1,268,2,22,0.43,4,38,17
1.31496,103.88691,1,94,4,30,0.6,67,32,17
1.3144,103.88671,1,85,4,81,1.61,67,127,16
1.3143,103.88604,1,99,5,17,0.34,67,52,343
1.28898,103.83944,2,28,1,0,0.0,1,0,1887
1.31536,103.88574,1,85,5,62,1.23,67,43,42
1.28411,103.83254,1,132,2,9,0.18,26,292,103
1.3123,103.86255,2,37,28,1,0.07,112,331,411
1.3026,103.85195,1,250,1,248,4.99,1,229,16
1.27967,103.85539,1,268,2,49,0.97,4,38,44
1.32402,103.85313,2,75,5,7,0.15,1,2,66
1.30105,103.84786,2,100,2,226,4.49,2,228,14
1.3148,103.88593,1,90,14,16,0.61,67,90,19
1.32618,103.85394,1,235,4,12,0.35,114,275,166
1.31737,103.85084,2,100,90,1,0.02,1,363,1464
1.31417,103.88224,2,44,18,0,0.0,83,353,1887
1.31509,103.80398,1,200,2,15,0.3,1,0,969
1.32647,103.86453,1,200,90,0,0.0,1,358,1887
1.28618,103.79122,2,50,4,1,0.02,1,0,1356
1.27173,103.82232,3,43,10,0,0.0,1,0,1887
1.30331,103.84848,2,75,5,3,0.06,1,0,1330
1.31405,103.88619,1,94,1,29,0.6,67,84,19
1.314,103.88576,1,90,4,18,0.38,67,64,15
1.27516,103.8453,1,140,20,4,0.08,1,0,1245
1.28305,103.82722,1,129,2,25,0.51,1,0,11
1.31382,103.88744,1,219,4,5,0.1,84,83,23
1.30623,103.78258,1,181,2,9,0.24,2,0,372
1.27242,103.80923,2,75,1,37,1.13,1,319,205
1.30798,103.78604,1,181,3,25,0.5,2,0,460
1.31791,103.85083,1,131,4,14,0.28,1,0,967
1.31575,103.88392,2,58,2,42,1.07,2,0,602
1.31553,103.8909,2,78,1,5,0.1,3,0,432
1.28283,103.83109,2,99,2,1,0.02,3,0,1483
